# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 18
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 19:26:27 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, '110121860', running on www.smart-browser.com
START Player-0 110121860
START Player-1 110121860
START Player-2 110121860
START Player-3 110121860
0 (1,2) (1,4)
0 null null
1 (12,1) (11,1)
2 (1,14) (3,12)
2 null null
3 (15,12) (13,12)
3 null null
0 (2,0) (4,0)
0 null null
1 (15,2) (13,4)
1 null null
2 (2,14) (2,12)
2 null null
3 (14,13) (15,12)
0 (2,1) (3,2)
1 (11,1) (11,2)
2 (0,12) (2,14)
2 null null
3 (13,12) (14,11)
0 (1,3) (1,5)
0 null null
1 (14,3) (15,2)
2 (1,13) (3,11)
2 (3,11) (3,13)
2 null null
3 (14,11) (14,13)
3 null null
0 (3,1) (1,3)
0 null null
1 (11,2) (10,1)
2 (3,13) (4,13)
3 (12,14) (11,14)
0 (0,3) (1,2)
1 (14,1) (12,1)
1 null null
2 (4,13) (4,14)
3 (13,13) (12,12)
0 (1,3) (3,1)
0 (3,1) (3,3)
0 null null
1 (13,4) (14,5)
2 (2,12) (4,12)
2 null null
3 (14,14) (13,13)
0 (1,5) (0,6)
1 (12,0) (11,0)
2 (4,12) (5,13)
3 (12,15) (11,15)
0 (0,1) (0,3)
0 (0,3) (2,1)
0 (2,1) (2,3)
0 (2,3) (4,1)
0 null null
1 (10,1) (9,0)
2 (3,12) (4,13)
3 (11,14) (12,15)
0 (1,4) (2,5)
1 (12,1) (11,2)
2 (0,13) (1,13)
3 (14,13) (14,14)
0 (3,3) (4,3)
1 (13,2) (12,3)
2 (1,12) (0,13)
3 (13,14) (12,14)
0 (2,5) (1,6)
1 (9,0) (8,0)
2 (4,13) (5,12)
3 (13,13) (13,12)
0 (4,1) (5,0)
1 (13,0) (13,2)
1 null null
2 (5,12) (4,12)
3 (14,12) (15,11)
0 (3,0) (2,0)
1 (11,0) (12,1)
2 (4,12) (3,12)
3 (14,14) (13,13)
0 (1,2) (2,3)
1 (15,1) (14,1)
2 (3,14) (5,14)
2 null null
3 (12,15) (10,15)
3 null null
0 (4,0) (5,1)
1 (11,2) (13,4)
1 (13,4) (15,6)
1 null null
2 (1,13) (3,13)
2 (3,13) (5,15)
2 null null
3 (12,14) (11,14)
0 (0,6) (0,7)
1 (13,2) (11,4)
1 null null
2 (4,14) (4,13)
3 (12,12) (14,14)
3 null null
0 (0,7) (1,8)
1 (14,5) (14,6)
2 (4,13) (6,15)
2 (6,15) (4,15)
2 null null
3 (10,15) (12,13)
3 (12,13) (14,13)
3 null null
0 (3,2) (4,2)
1 (8,0) (9,1)
2 (4,15) (6,13)
2 (6,13) (4,13)
2 (4,13) (2,11)
2 null null
3 (15,13) (14,12)
0 (1,6) (1,5)
1 (12,3) (13,4)
2 (5,15) (6,14)
3 (13,12) (14,11)
0 (1,1) (2,1)
1 (14,1) (15,1)
2 (5,13) (6,13)
3 (11,14) (12,15)
0 (5,0) (4,1)
1 (12,1) (11,0)
2 (6,13) (4,15)
2 null null
3 (15,14) (13,14)
3 (13,14) (13,12)
3 (13,12) (15,10)
3 null null
0 (1,8) (0,8)
1 (11,4) (10,5)
2 (4,15) (6,13)
2 (6,13) (6,15)
2 (6,15) (4,13)
2 null null
3 (15,15) (15,14)
0 (4,1) (3,1)
1 (15,6) (14,7)
2 (2,11) (3,10)
3 (13,15) (13,14)
0 (1,5) (2,6)
1 (9,1) (10,1)
2 (1,15) (3,13)
2 null null
3 (11,15) (10,14)
0 (4,3) (4,1)
0 null null
1 (10,1) (9,1)
2 (2,13) (1,13)
3 (15,11) (13,11)
3 null null
0 (4,1) (4,3)
0 null null
1 (14,7) (14,8)
2 (3,12) (2,13)
3 (15,14) (15,15)
0 (3,1) (3,0)
1 (11,0) (10,1)
2 (5,14) (6,13)
3 (13,11) (14,10)
0 (0,0) (0,1)
1 (10,5) (9,5)
2 (3,15) (4,14)
3 (15,10) (15,11)
0 (3,0) (1,2)
0 (1,2) (3,4)
0 null null
1 (9,5) (10,4)
2 (2,14) (0,12)
2 null null
3 (14,11) (14,9)
3 null null
0 (4,2) (4,4)
0 null null
1 (10,1) (11,1)
2 (3,10) (3,11)
3 (14,15) (15,14)
0 (0,8) (1,9)
1 (11,1) (12,0)
2 (2,13) (1,12)
3 (14,12) (14,11)
0 (2,2) (1,3)
1 (10,4) (11,4)
2 (3,13) (3,14)
3 (13,13) (12,12)
0 (5,1) (6,2)
1 (14,8) (13,7)
2 (6,13) (7,13)
3 (15,11) (14,12)
0 (1,9) (2,10)
1 (11,4) (10,4)
2 (3,14) (2,13)
3 (15,15) (15,13)
3 (15,13) (13,15)
3 null null
0 (4,4) (2,4)
0 (2,4) (2,2)
0 null null
1 (13,1) (12,1)
2 (4,13) (5,13)
3 (14,12) (13,12)
0 (2,3) (1,2)
1 (10,4) (11,4)
2 (2,15) (3,14)
3 (15,14) (14,15)
0 (3,4) (2,5)
1 (15,3) (14,3)
2 (6,14) (4,12)
2 null null
3 (12,12) (11,11)
0 (1,3) (3,1)
0 null null
1 (14,6) (14,5)
2 (0,12) (2,12)
2 null null
3 (11,11) (11,10)
0 (2,6) (2,7)
1 (14,0) (13,1)
2 (4,12) (5,12)
3 (13,14) (12,13)
0 (4,3) (3,4)
1 (12,1) (13,2)
2 (2,13) (3,12)
3 (14,13) (13,14)
0 (2,2) (4,0)
0 null null
1 (13,7) (13,8)
2 (1,12) (1,14)
2 null null
3 (14,10) (15,11)
