# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 23
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 19:51:26 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 110121860
START Player-2 random
START Player-3 random
0 (1,3) (0,4)
1 (14,3) (13,4)
2 (0,12) (0,11)
3 (13,13) (12,13)
0 (1,2) (3,2)
0 null null
1 (15,2) (14,3)
2 (2,13) (4,15)
2 null null
3 (12,15) (11,14)
0 (3,1) (3,3)
0 null null
1 (13,1) (13,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,12) (13,13)
0 (3,2) (4,1)
1 (13,3) (12,3)
2 (3,15) (4,14)
3 (11,14) (12,15)
0 (1,1) (1,2)
1 (15,3) (14,4)
2 (2,14) (2,15)
3 (12,13) (12,12)
0 (0,2) (1,3)
1 (14,2) (13,3)
2 (0,11) (0,10)
3 (15,13) (14,12)
0 (3,3) (1,1)
0 (1,1) (3,1)
0 (3,1) (5,1)
0 null null
1 (14,4) (15,3)
2 (0,14) (2,14)
2 (2,14) (0,12)
2 null null
3 (13,13) (15,13)
3 (15,13) (15,11)
3 null null
0 (1,3) (2,4)
1 (12,1) (12,2)
2 (4,15) (3,15)
3 (12,14) (11,13)
0 (2,1) (3,1)
1 (12,2) (11,1)
2 (0,12) (0,14)
2 (0,14) (2,12)
2 null null
3 (13,15) (12,14)
0 (3,1) (1,3)
0 (1,3) (1,1)
0 (1,1) (3,3)
0 null null
1 (15,3) (14,4)
2 (1,15) (2,14)
3 (14,12) (13,13)
0 (0,3) (1,3)
1 (14,4) (15,3)
2 (0,15) (2,13)
2 (2,13) (4,15)
2 null null
3 (12,15) (11,15)
0 (1,3) (2,3)
1 (13,4) (12,4)
2 (3,15) (5,13)
2 null null
3 (14,13) (14,12)
0 (3,0) (5,2)
0 null null
1 (15,3) (14,2)
2 (4,14) (6,12)
2 null null
3 (14,12) (14,11)
0 (4,1) (4,0)
1 (11,1) (10,0)
2 (2,12) (3,13)
3 (15,11) (14,12)
0 (2,2) (2,1)
1 (12,0) (12,1)
2 (2,14) (2,13)
3 (14,12) (15,11)
0 (2,1) (3,0)
1 (10,0) (9,1)
2 (2,15) (1,15)
3 (15,15) (15,13)
3 (15,13) (13,15)
3 null null
0 (5,1) (4,2)
1 (14,3) (15,4)
2 (3,13) (4,14)
3 (14,11) (13,11)
0 (2,4) (1,4)
1 (14,2) (14,3)
2 (6,12) (7,11)
3 (11,13) (11,14)
0 (3,3) (2,2)
1 (9,1) (10,0)
2 (0,13) (0,14)
3 (12,12) (11,11)
0 (3,0) (5,0)
0 null null
1 (12,4) (13,4)
2 (5,13) (3,15)
2 (3,15) (5,15)
2 null null
3 (11,14) (12,15)
0 (0,1) (0,2)
1 (12,1) (11,0)
2 (1,12) (2,11)
3 (11,15) (10,14)
0 (5,0) (3,0)
0 null null
1 (14,3) (15,3)
2 (2,13) (0,15)
2 null null
3 (15,11) (15,10)
0 (2,3) (3,2)
1 (10,0) (9,0)
2 (5,15) (6,15)
3 (10,14) (11,15)
0 (4,0) (3,1)
1 (15,1) (13,1)
1 null null
2 (0,10) (0,9)
3 (11,11) (12,10)
0 (0,4) (1,5)
1 (13,1) (12,2)
2 (1,13) (0,12)
3 (12,10) (12,9)
0 (3,0) (4,1)
1 (15,4) (14,3)
2 (0,9) (1,9)
3 (11,15) (10,14)
0 (5,2) (6,2)
1 (12,2) (11,2)
2 (7,11) (7,10)
3 (10,14) (11,13)
0 (4,2) (4,0)
0 null null
1 (13,3) (13,5)
1 null null
2 (4,14) (4,12)
2 null null
3 (13,11) (13,10)
0 (3,1) (3,0)
1 (13,4) (12,5)
2 (7,10) (6,10)
3 (12,15) (11,15)
0 (0,2) (0,1)
1 (12,5) (12,4)
2 (4,13) (2,15)
2 null null
3 (14,14) (14,13)
0 (3,0) (3,1)
1 (11,0) (12,1)
2 (6,10) (7,9)
3 (12,14) (12,15)
0 (1,0) (3,0)
0 (3,0) (5,2)
0 (5,2) (7,2)
0 null null
1 (12,3) (13,3)
2 (4,15) (2,13)
2 null null
3 (12,9) (12,8)
0 (1,4) (2,4)
1 (14,3) (14,2)
2 (4,12) (4,13)
3 (13,13) (13,12)
0 (4,1) (5,2)
1 (13,2) (13,1)
2 (3,14) (1,12)
2 (1,12) (3,10)
2 null null
3 (13,12) (13,13)
0 (5,2) (6,3)
1 (14,1) (14,3)
1 (14,3) (12,3)
1 (12,3) (10,1)
1 null null
2 (2,11) (1,11)
3 (14,13) (12,13)
3 (12,13) (10,13)
3 null null
0 (2,2) (1,3)
1 (12,4) (13,4)
2 (1,14) (3,12)
2 (3,12) (5,14)
2 null null
3 (12,8) (11,9)
0 (2,0) (3,0)
1 (9,0) (8,1)
2 (1,9) (1,10)
3 (12,15) (11,14)
0 (1,3) (0,4)
1 (13,3) (12,3)
2 (2,13) (2,14)
