# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 24
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 19:52:09 EDT 2014
# Player 1: Player-0, 'random', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 random
START Player-1 110121860
START Player-2 110121860
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (14,3) (13,4)
2 (2,13) (3,13)
3 (14,14) (12,12)
3 null null
0 (3,0) (3,2)
0 null null
1 (12,1) (14,3)
1 null null
2 (1,12) (2,12)
3 (13,13) (12,13)
0 (3,1) (3,0)
1 (14,2) (14,4)
1 (14,4) (12,4)
1 null null
2 (2,12) (3,11)
3 (15,14) (14,14)
0 (2,3) (2,4)
1 (12,4) (12,3)
2 (3,11) (2,11)
3 (13,14) (11,14)
3 (11,14) (13,12)
3 (13,12) (11,12)
3 null null
0 (1,3) (3,5)
0 null null
1 (13,0) (12,1)
2 (3,13) (2,13)
3 (12,13) (11,13)
0 (3,2) (4,2)
1 (12,3) (11,3)
2 (3,14) (4,15)
3 (11,13) (13,11)
3 null null
0 (3,0) (4,0)
1 (13,1) (13,0)
2 (1,14) (3,14)
2 (3,14) (1,12)
2 (1,12) (3,10)
2 null null
3 (13,11) (13,10)
0 (4,0) (4,1)
1 (11,3) (12,2)
2 (0,14) (2,12)
2 (2,12) (2,10)
2 (2,10) (4,10)
2 null null
3 (13,10) (12,9)
0 (0,3) (1,3)
1 (15,2) (14,2)
2 (2,11) (1,11)
3 (12,14) (11,14)
0 (4,2) (3,2)
1 (15,1) (13,1)
1 (13,1) (11,1)
1 null null
2 (1,11) (1,10)
3 (11,14) (10,13)
0 (4,1) (5,2)
1 (14,1) (15,2)
2 (1,10) (1,9)
3 (14,13) (13,13)
0 (2,2) (0,4)
0 null null
1 (13,4) (13,5)
2 (2,14) (3,14)
3 (12,9) (12,8)
0 (3,5) (4,5)
1 (11,1) (11,2)
2 (1,9) (2,10)
3 (13,13) (12,14)
0 (1,0) (3,0)
0 null null
1 (14,3) (14,4)
2 (1,13) (1,14)
3 (12,15) (11,15)
0 (4,5) (4,6)
1 (14,4) (15,4)
2 (4,10) (3,11)
3 (11,15) (10,15)
0 (4,6) (4,7)
1 (15,0) (15,1)
2 (3,14) (3,13)
3 (10,13) (10,12)
0 (1,3) (2,2)
1 (11,2) (11,1)
2 (4,15) (4,14)
3 (14,14) (13,13)
0 (4,7) (5,6)
1 (15,1) (14,1)
2 (4,14) (2,12)
2 (2,12) (2,14)
2 (2,14) (0,14)
2 null null
3 (15,13) (15,14)
0 (2,4) (3,5)
1 (14,2) (14,3)
2 (2,10) (1,10)
3 (12,8) (11,7)
0 (2,1) (4,3)
0 null null
1 (15,3) (14,2)
2 (0,12) (1,13)
3 (10,12) (10,11)
0 (1,2) (0,3)
1 (13,2) (15,0)
1 null null
2 (3,10) (4,10)
3 (10,15) (10,14)
0 (3,2) (3,3)
1 (13,5) (12,5)
2 (1,10) (0,11)
3 (11,12) (11,11)
0 (2,0) (1,0)
1 (15,0) (15,1)
2 (1,14) (3,12)
2 (3,12) (3,10)
2 null null
3 (12,12) (10,10)
3 null null
0 (4,3) (4,2)
1 (11,1) (10,0)
2 (0,11) (0,12)
3 (13,13) (11,15)
3 null null
0 (5,2) (5,3)
1 (12,1) (13,1)
2 (2,13) (2,12)
3 (11,7) (12,8)
0 (5,3) (4,3)
1 (15,1) (13,3)
1 (13,3) (15,3)
1 null null
2 (3,11) (3,12)
3 (10,10) (9,10)
0 (4,2) (5,3)
1 (15,4) (14,4)
2 (0,13) (2,13)
2 null null
3 (10,11) (9,11)
0 (3,5) (2,6)
1 (14,3) (14,5)
1 null null
2 (0,12) (0,11)
3 (9,10) (9,12)
3 null null
0 (3,0) (4,0)
1 (15,3) (14,3)
2 (1,13) (1,14)
3 (12,8) (12,9)
0 (0,3) (1,4)
1 (12,0) (11,0)
2 (2,15) (0,13)
2 null null
3 (15,12) (15,11)
0 (4,3) (4,2)
1 (14,5) (13,5)
2 (3,10) (4,11)
3 (11,11) (10,12)
0 (1,4) (2,5)
1 (12,2) (13,2)
2 (2,12) (1,12)
3 (14,12) (13,13)
0 (4,2) (3,1)
1 (13,5) (11,5)
1 null null
2 (3,13) (4,13)
3 (13,13) (12,12)
0 (5,6) (6,6)
1 (10,0) (11,1)
2 (3,15) (4,14)
3 (15,11) (14,12)
0 (3,3) (3,4)
1 (14,4) (13,3)
2 (2,13) (3,14)
3 (10,12) (10,13)
0 (2,2) (3,3)
1 (14,0) (12,2)
1 (12,2) (14,4)
1 null null
2 (1,14) (2,15)
3 (14,15) (12,15)
3 null null
0 (2,6) (3,7)
1 (14,2) (14,0)
1 (14,0) (12,0)
1 null null
2 (0,14) (1,13)
3 (14,12) (13,12)
0 (3,3) (4,3)
1 (13,1) (14,2)
2 (1,15) (3,15)
2 null null
3 (9,11) (8,10)
0 (4,0) (3,0)
1 (11,1) (10,1)
2 (4,13) (4,15)
2 (4,15) (2,13)
2 null null
3 (12,12) (13,11)
0 (4,3) (5,2)
1 (14,4) (15,4)
2 (4,10) (4,12)
2 null null
3 (13,11) (14,12)
0 (0,0) (2,2)
0 (2,2) (4,0)
0 null null
1 (13,3) (15,3)
1 (15,3) (13,1)
1 null null
2 (0,11) (1,10)
3 (13,12) (15,12)
3 null null
0 (3,1) (3,2)
1 (14,3) (12,1)
1 null null
2 (3,14) (5,14)
2 null null
3 (10,14) (9,15)
0 (1,0) (1,2)
0 null null
1 (12,0) (11,1)
2 (1,10) (1,11)
3 (15,14) (15,13)
0 (3,2) (3,1)
1 (13,2) (15,0)
1 null null
2 (2,13) (2,12)
3 (12,14) (11,13)
0 (4,0) (4,1)
1 (14,1) (15,1)
2 (4,12) (5,13)
3 (12,9) (11,10)
0 (0,4) (1,4)
1 (15,2) (13,2)
1 null null
2 (5,13) (4,13)
3 (9,12) (10,12)
0 (3,4) (2,3)
1 (11,1) (12,0)
2 (2,12) (0,14)
2 (0,14) (0,12)
2 (0,12) (2,14)
2 null null
3 (11,13) (11,14)
0 (1,4) (0,5)
1 (15,1) (13,3)
1 null null
2 (4,13) (6,15)
2 null null
3 (15,12) (13,12)
3 null null
0 (4,1) (4,2)
1 (13,2) (14,1)
2 (1,11) (0,10)
3 (9,15) (9,14)
0 (5,2) (6,2)
1 (10,1) (10,0)
2 (0,10) (0,11)
3 (11,10) (12,9)
0 (2,5) (3,6)
1 (15,4) (15,5)
2 (0,13) (2,13)
2 null null
3 (12,15) (10,15)
3 (10,15) (12,13)
3 (12,13) (14,11)
3 null null
0 (2,3) (3,3)
1 (14,2) (15,3)
2 (4,14) (5,13)
3 (10,12) (10,11)
0 (6,6) (5,5)
1 (13,0) (15,2)
1 null null
2 (2,14) (1,15)
3 (15,13) (15,14)
0 (6,2) (7,2)
1 (11,5) (10,6)
2 (5,14) (6,14)
3 (10,11) (11,11)
0 (1,2) (2,2)
1 (12,1) (12,2)
2 (0,11) (1,10)
3 (15,14) (14,13)
0 (3,0) (4,1)
1 (13,3) (11,1)
1 null null
2 (1,10) (1,11)
3 (14,12) (15,11)
0 (7,2) (8,3)
1 (10,6) (9,7)
2 (5,13) (7,15)
2 null null
3 (11,11) (10,11)
0 (3,6) (4,7)
1 (11,1) (13,3)
1 null null
2 (4,11) (5,11)
3 (10,11) (9,12)
0 (4,7) (5,6)
1 (9,7) (8,7)
2 (1,13) (3,13)
2 (3,13) (3,11)
2 null null
3 (13,15) (14,14)
0 (1,1) (2,1)
1 (10,0) (10,1)
2 (2,13) (0,11)
2 (0,11) (2,11)
2 (2,11) (4,13)
2 null null
3 (11,15) (10,15)
0 (3,1) (1,1)
0 null null
1 (15,2) (14,3)
2 (3,12) (3,13)
3 (14,14) (13,15)
0 (4,2) (3,1)
1 (12,0) (10,0)
1 (10,0) (10,2)
1 null null
2 (3,13) (2,12)
3 (9,12) (8,13)
0 (0,2) (1,2)
