# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 34
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 21:04:56 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'Human', running on www.smart-browser.com
START Player-0 110121860
START Player-1 random
START Player-2 random
START Player-3 Human
0 (2,2) (3,3)
1 (13,1) (13,3)
1 null null
2 (1,12) (0,11)
3 (13,13) (12,12)
0 (0,0) (2,2)
0 null null
1 (12,0) (12,2)
1 (12,2) (14,4)
1 null null
2 (1,14) (1,12)
2 null null
3 (14,14) (13,13)
0 (2,2) (4,4)
0 null null
1 (13,2) (13,1)
2 (0,11) (0,10)
3 (14,12) (13,11)
0 (1,2) (2,3)
1 (13,1) (12,0)
2 (3,14) (1,14)
2 null null
3 (14,13) (13,12)
0 (0,1) (1,2)
1 (13,3) (15,5)
1 null null
2 (0,13) (0,11)
2 null null
3 (13,15) (11,13)
