# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 36
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 21:16:56 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (14,2) (13,3)
2 (2,13) (3,12)
3 (13,14) (11,14)
3 null null
0 (0,0) (2,2)
0 null null
1 (12,0) (11,1)
2 (1,13) (2,13)
3 (12,14) (11,13)
0 (2,2) (4,4)
0 null null
1 (13,2) (13,4)
1 null null
2 (3,14) (4,13)
3 (15,12) (14,11)
0 (1,2) (2,3)
1 (14,0) (14,2)
1 (14,2) (12,4)
1 (12,4) (14,4)
1 null null
2 (3,15) (1,13)
2 (1,13) (3,13)
2 (3,13) (5,13)
2 null null
3 (12,15) (11,15)
0 (0,1) (1,2)
1 (13,1) (14,0)
2 (1,12) (3,14)
2 null null
3 (11,13) (12,12)
0 (1,2) (3,4)
0 null null
1 (14,1) (14,2)
2 (3,14) (4,14)
3 (12,12) (11,11)
0 (0,3) (1,4)
1 (15,2) (15,4)
1 (15,4) (13,2)
1 null null
2 (5,13) (6,12)
3 (13,13) (12,12)
0 (3,0) (4,1)
1 (13,2) (14,1)
2 (4,14) (4,12)
2 null null
3 (11,11) (10,11)
0 (1,4) (2,5)
1 (12,1) (13,2)
2 (6,12) (7,12)
3 (14,11) (13,11)
0 (4,1) (5,2)
1 (15,3) (15,4)
2 (4,13) (5,14)
3 (10,11) (9,12)
0 (5,2) (6,3)
1 (13,3) (13,5)
1 (13,5) (15,3)
1 (15,3) (13,1)
1 null null
2 (2,15) (3,14)
3 (12,12) (11,12)
0 (2,0) (4,2)
0 null null
1 (15,1) (15,2)
2 (2,14) (3,15)
3 (15,15) (13,13)
3 null null
0 (4,2) (5,3)
1 (14,0) (12,0)
1 null null
2 (5,14) (4,15)
3 (11,15) (12,15)
0 (5,3) (6,4)
1 (15,4) (15,5)
2 (0,12) (1,11)
3 (15,14) (13,14)
3 null null
0 (1,0) (3,2)
0 null null
1 (11,1) (11,2)
2 (7,12) (6,12)
3 (11,14) (10,14)
0 (3,2) (4,3)
1 (13,2) (12,1)
2 (1,15) (2,15)
3 (13,11) (12,12)
0 (3,4) (4,5)
1 (13,0) (11,0)
1 (11,0) (13,2)
1 null null
2 (3,14) (4,14)
3 (11,12) (11,11)
0 (4,5) (5,6)
1 (12,1) (12,2)
2 (4,12) (3,11)
3 (12,12) (11,12)
0 (2,1) (3,2)
1 (13,4) (12,5)
2 (2,13) (2,14)
3 (13,13) (12,12)
0 (3,2) (5,4)
0 null null
1 (12,0) (13,0)
2 (4,14) (4,13)
3 (11,12) (13,12)
3 null null
0 (5,4) (6,5)
1 (12,5) (13,6)
2 (0,14) (0,12)
2 null null
3 (12,15) (11,15)
0 (6,5) (7,6)
1 (14,3) (15,4)
2 (6,12) (7,13)
3 (14,15) (12,13)
3 null null
0 (1,1) (2,2)
1 (14,1) (14,0)
2 (1,14) (1,13)
3 (14,12) (13,13)
0 (2,2) (3,2)
1 (13,1) (12,0)
2 (2,15) (1,15)
3 (13,12) (14,11)
0 (3,2) (5,4)
0 null null
1 (14,0) (13,1)
2 (1,13) (0,14)
3 (9,12) (8,11)
0 (5,4) (6,5)
1 (13,1) (12,1)
2 (4,15) (5,14)
3 (14,11) (14,10)
0 (6,5) (8,7)
0 null null
1 (11,2) (12,3)
2 (5,14) (6,14)
3 (11,15) (10,15)
0 (8,7) (9,8)
1 (15,2) (15,1)
2 (2,14) (3,14)
3 (13,14) (15,14)
3 (15,14) (13,12)
3 (13,12) (11,14)
3 (11,14) (9,14)
3 null null
0 (9,8) (10,9)
1 (13,2) (11,0)
1 null null
2 (6,14) (5,15)
3 (13,13) (11,13)
3 (11,13) (9,15)
3 null null
0 (10,9) (11,10)
1 (12,1) (11,1)
2 (1,11) (2,10)
3 (8,11) (9,12)
0 (11,10) (12,11)
1 (12,0) (10,2)
1 null null
2 (3,11) (4,10)
3 (12,13) (11,14)
0 (4,4) (5,5)
1 (14,4) (14,3)
2 (3,15) (4,15)
3 (10,15) (11,15)
0 (5,5) (6,6)
1 (14,2) (15,3)
2 (1,15) (1,14)
3 (9,14) (8,15)
0 (6,6) (7,7)
1 (12,2) (11,3)
2 (7,13) (6,14)
3 (12,12) (10,10)
3 null null
0 (7,7) (8,8)
1 (13,0) (13,1)
2 (3,14) (3,13)
3 (14,14) (13,13)
0 (8,8) (9,9)
1 (15,3) (15,2)
2 (3,13) (4,14)
3 (9,15) (11,13)
3 null null
