# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 39
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 21:28:25 EDT 2014
# Player 1: Player-0, 'random', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 random
START Player-1 110121860
START Player-2 random
START Player-3 random
0 (1,3) (1,4)
1 (14,3) (15,4)
2 (0,13) (2,11)
2 null null
3 (13,14) (11,14)
3 null null
0 (1,4) (2,3)
1 (15,4) (14,3)
2 (0,12) (0,11)
3 (14,12) (14,11)
0 (1,2) (3,4)
0 null null
1 (14,3) (15,4)
2 (1,13) (3,13)
2 null null
3 (15,12) (14,12)
0 (3,0) (1,2)
0 null null
1 (15,4) (14,3)
2 (3,14) (4,14)
3 (14,11) (15,11)
0 (2,0) (3,0)
1 (14,3) (15,4)
2 (2,11) (3,10)
3 (11,14) (11,15)
0 (3,4) (4,4)
1 (15,4) (14,3)
2 (2,15) (3,14)
3 (13,13) (13,12)
0 (2,1) (4,1)
0 null null
1 (14,3) (15,4)
2 (3,15) (2,15)
3 (14,13) (13,13)
0 (4,1) (4,0)
1 (15,4) (14,3)
2 (0,14) (0,13)
3 (15,11) (15,10)
0 (1,1) (1,3)
0 (1,3) (3,3)
0 null null
1 (14,3) (15,4)
2 (3,10) (3,11)
3 (14,12) (15,11)
0 (3,1) (1,3)
0 (1,3) (1,1)
0 null null
1 (15,4) (14,3)
2 (3,14) (4,13)
3 (12,15) (13,14)
0 (3,3) (4,3)
1 (14,3) (15,4)
2 (1,14) (0,14)
3 (12,14) (11,14)
0 (0,0) (2,0)
0 null null
1 (15,4) (14,3)
2 (2,14) (3,15)
3 (15,11) (15,12)
0 (1,2) (2,1)
1 (14,3) (15,4)
2 (3,11) (2,10)
3 (14,14) (14,13)
0 (2,2) (0,0)
0 null null
1 (15,4) (14,3)
2 (3,13) (3,12)
3 (15,10) (15,11)
0 (1,1) (1,2)
1 (14,3) (15,4)
2 (4,14) (5,13)
3 (13,14) (12,13)
0 (4,3) (4,5)
0 null null
1 (15,4) (14,3)
2 (4,13) (4,14)
3 (14,15) (13,14)
0 (1,0) (3,2)
0 null null
1 (14,3) (15,4)
2 (2,10) (2,9)
3 (13,13) (11,13)
3 null null
0 (2,3) (2,4)
1 (15,4) (14,3)
2 (2,9) (3,9)
3 (12,13) (10,15)
3 (10,15) (12,15)
3 (12,15) (10,13)
3 null null
0 (4,4) (5,3)
1 (14,3) (15,4)
2 (0,11) (1,11)
3 (13,14) (14,15)
0 (2,4) (3,4)
1 (15,4) (14,3)
2 (3,12) (4,11)
3 (14,13) (14,14)
0 (4,5) (4,4)
1 (14,3) (15,4)
2 (1,12) (1,13)
3 (15,12) (14,11)
0 (4,4) (6,2)
0 null null
1 (15,4) (14,3)
2 (4,14) (6,12)
2 null null
3 (10,13) (10,12)
0 (2,0) (3,1)
1 (14,3) (15,4)
2 (3,9) (4,10)
3 (14,11) (15,12)
0 (4,0) (4,1)
1 (15,4) (14,3)
2 (4,11) (5,12)
3 (13,15) (12,14)
0 (3,2) (2,3)
1 (14,3) (15,4)
2 (2,13) (1,14)
3 (12,14) (12,13)
0 (3,4) (2,5)
1 (15,4) (14,3)
2 (1,13) (2,13)
3 (13,12) (13,13)
0 (2,5) (2,6)
1 (14,3) (15,4)
2 (5,13) (4,13)
3 (13,13) (12,14)
0 (5,3) (6,4)
1 (15,4) (14,3)
2 (3,15) (4,14)
3 (12,13) (12,12)
0 (2,1) (1,1)
1 (14,3) (15,4)
2 (6,12) (5,13)
3 (11,14) (10,13)
0 (0,1) (2,1)
0 null null
1 (15,4) (14,3)
2 (4,14) (6,12)
2 null null
3 (10,13) (10,11)
3 null null
0 (0,3) (1,3)
1 (14,3) (15,4)
2 (5,13) (5,14)
3 (12,14) (13,14)
0 (2,3) (0,1)
0 null null
1 (15,4) (14,3)
2 (0,14) (0,12)
2 (0,12) (2,10)
2 null null
3 (15,14) (14,13)
0 (2,1) (0,3)
0 null null
1 (14,3) (15,4)
2 (0,13) (1,12)
3 (12,12) (11,12)
0 (2,6) (1,6)
1 (15,4) (14,3)
2 (2,13) (2,12)
3 (14,13) (13,13)
0 (1,6) (0,5)
1 (14,3) (15,4)
2 (1,12) (0,13)
3 (11,13) (10,13)
0 (3,1) (5,1)
0 null null
1 (15,4) (14,3)
2 (4,13) (3,12)
3 (10,11) (9,10)
0 (6,2) (6,3)
1 (14,3) (15,4)
2 (2,12) (3,13)
3 (10,13) (10,14)
0 (1,3) (2,3)
1 (15,4) (14,3)
2 (3,12) (2,12)
3 (15,11) (14,11)
0 (1,2) (1,3)
1 (14,3) (15,4)
2 (1,15) (3,15)
2 null null
3 (10,12) (12,12)
3 null null
0 (1,1) (2,1)
1 (15,4) (14,3)
2 (2,12) (0,10)
2 null null
3 (13,14) (12,13)
0 (6,3) (7,2)
1 (14,3) (15,4)
2 (5,14) (6,13)
3 (13,13) (11,13)
3 (11,13) (9,15)
