# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 84
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 09 23:43:35 EDT 2014
# Starting at move 504
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'Human', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 Human
START Player-2 random
START Player-3 random
0 (2,2) (4,0)
0 null null
1 (12,1) (11,2)
2 (0,13) (2,11)
2 null null
3 (13,14) (11,14)
3 null null
0 (0,0) (2,2)
0 null null
1 (14,3) (13,3)
2 (2,13) (2,12)
3 (15,14) (13,12)
3 null null
0 (2,2) (0,4)
0 null null
1 (13,0) (11,0)
1 null null
2 (1,14) (0,13)
3 (13,15) (11,15)
3 null null
0 (1,2) (1,4)
0 null null
1 (15,3) (15,4)
2 (0,15) (1,14)
3 (12,14) (13,14)
0 (0,3) (2,5)
0 null null
1 (15,2) (14,3)
2 (1,12) (0,11)
3 (13,12) (12,11)
0 (0,1) (0,3)
0 null null
1 (13,1) (12,2)
2 (2,11) (3,10)
3 (13,14) (13,12)
3 (13,12) (15,14)
3 null null
0 (0,3) (0,5)
0 null null
1 (13,3) (15,3)
1 (15,3) (13,1)
1 (13,1) (11,3)
1 null null
2 (2,12) (3,12)
3 (11,14) (12,13)
0 (0,4) (0,6)
0 null null
1 (14,2) (13,1)
2 (3,10) (3,9)
3 (12,15) (13,14)
0 (0,5) (0,7)
0 null null
1 (14,1) (12,3)
1 (12,3) (12,1)
1 (12,1) (10,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (11,15) (10,15)
0 (3,0) (5,0)
0 null null
1 (14,3) (14,2)
2 (3,12) (4,11)
3 (12,11) (12,10)
0 (1,4) (3,6)
0 null null
1 (11,3) (11,4)
2 (0,11) (1,10)
3 (10,15) (9,14)
0 (0,6) (0,8)
0 null null
1 (10,3) (10,2)
2 (0,14) (0,15)
