# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 85
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 09 23:48:10 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'Human', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 Human
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,12) (0,11)
3 (13,13) (15,11)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,0) (12,2)
1 null null
2 (2,13) (3,13)
3 (14,13) (13,12)
0 (3,0) (3,2)
0 null null
1 (13,3) (12,3)
2 (1,14) (2,13)
3 (14,15) (14,13)
3 (14,13) (14,11)
3 null null
0 (2,0) (4,2)
0 null null
1 (12,2) (12,4)
1 null null
2 (2,14) (4,12)
2 null null
3 (15,14) (14,15)
0 (2,1) (4,3)
0 null null
1 (12,4) (11,4)
2 (2,15) (1,14)
3 (14,15) (14,13)
3 (14,13) (12,11)
3 null null
0 (4,2) (4,4)
0 null null
1 (13,1) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,11) (0,10)
3 (13,14) (14,15)
0 (3,2) (5,4)
0 null null
1 (11,5) (10,5)
2 (3,14) (2,15)
3 (15,11) (14,10)
0 (1,1) (3,3)
0 null null
1 (14,2) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,6)
1 null null
2 (4,12) (4,13)
3 (12,11) (11,10)
0 (0,2) (2,4)
0 null null
1 (10,6) (9,6)
2 (4,13) (3,14)
3 (11,10) (10,11)
0 (4,3) (6,5)
0 null null
1 (14,3) (13,3)
2 (3,15) (2,14)
3 (14,11) (13,10)
0 (5,4) (7,6)
0 null null
1 (13,3) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,5)
1 (9,5) (9,7)
1 null null
2 (3,13) (4,12)
