# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 98
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Apr 10 01:26:29 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'Human', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 Human
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (14,2) (12,2)
1 null null
2 (1,12) (2,12)
3 (14,12) (13,11)
0 (1,2) (3,4)
0 null null
1 (13,1) (13,3)
1 null null
2 (3,14) (4,14)
3 (13,11) (14,11)
0 (3,0) (3,2)
0 null null
1 (12,2) (12,3)
2 (3,15) (5,13)
2 null null
3 (13,13) (13,12)
0 (2,0) (4,2)
0 null null
1 (13,3) (11,3)
1 null null
2 (4,14) (3,14)
3 (13,15) (11,13)
3 null null
0 (2,1) (4,3)
0 null null
1 (11,3) (11,4)
2 (0,13) (0,11)
2 null null
3 (14,11) (12,13)
3 null null
0 (4,2) (4,4)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (2,14) (3,15)
3 (13,12) (13,11)
0 (3,2) (5,4)
0 null null
1 (11,5) (10,5)
2 (3,14) (2,14)
3 (12,14) (10,12)
3 null null
0 (1,1) (3,3)
0 null null
1 (12,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (10,6)
1 null null
2 (1,14) (0,13)
3 (13,11) (14,12)
0 (0,2) (2,4)
0 null null
1 (10,6) (9,6)
2 (0,14) (1,14)
3 (15,13) (13,15)
3 (13,15) (13,13)
3 null null
0 (4,3) (6,5)
0 null null
