# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 103
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Apr 10 03:24:48 EDT 2014
# Player 1: Player-0, 'random', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 random
START Player-1 random
START Player-2 110121860
START Player-3 random
0 (3,1) (4,2)
1 (13,0) (11,2)
1 null null
2 (1,12) (2,12)
3 (13,14) (12,13)
0 (4,2) (4,3)
1 (12,1) (13,0)
2 (2,12) (1,12)
3 (13,15) (11,15)
3 null null
0 (1,3) (2,3)
1 (15,2) (13,4)
1 null null
2 (1,12) (2,12)
3 (12,13) (11,12)
0 (2,2) (3,2)
1 (13,4) (13,5)
2 (2,12) (1,12)
3 (14,12) (15,11)
0 (1,2) (3,4)
0 (3,4) (5,2)
0 null null
1 (13,5) (12,6)
2 (1,12) (2,12)
3 (12,14) (13,15)
0 (3,2) (5,4)
0 null null
1 (13,0) (12,1)
2 (2,12) (1,12)
3 (11,12) (10,12)
0 (2,3) (1,4)
1 (14,3) (14,4)
2 (1,12) (2,12)
3 (12,15) (12,14)
0 (0,2) (1,3)
1 (12,6) (11,7)
2 (2,12) (1,12)
3 (15,11) (15,10)
0 (2,1) (1,2)
1 (14,1) (14,3)
1 null null
2 (1,12) (2,12)
3 (13,13) (14,12)
0 (2,0) (4,0)
0 null null
1 (11,7) (12,6)
2 (2,12) (1,12)
3 (11,15) (11,14)
0 (1,2) (2,3)
1 (12,6) (13,6)
2 (1,12) (2,12)
3 (15,13) (15,11)
3 (15,11) (15,9)
3 null null
0 (4,0) (3,1)
1 (15,3) (15,2)
2 (2,12) (1,12)
3 (15,12) (13,14)
3 null null
0 (3,1) (2,2)
1 (11,2) (13,0)
1 null null
2 (1,12) (2,12)
3 (10,12) (10,11)
0 (2,2) (2,4)
0 (2,4) (0,4)
0 (0,4) (0,2)
0 null null
1 (13,6) (12,7)
2 (2,12) (1,12)
3 (14,13) (13,12)
0 (2,3) (2,2)
1 (14,2) (12,2)
1 null null
2 (1,12) (2,12)
3 (11,14) (10,15)
0 (1,3) (2,4)
1 (14,3) (15,4)
2 (2,12) (1,12)
3 (13,12) (14,13)
0 (3,0) (2,1)
1 (12,0) (11,0)
2 (1,12) (2,12)
3 (12,14) (13,13)
0 (4,3) (3,2)
1 (12,2) (12,0)
1 (12,0) (14,2)
1 null null
2 (2,12) (1,12)
3 (13,13) (12,13)
0 (1,4) (1,5)
1 (15,1) (15,3)
1 (15,3) (13,5)
1 null null
2 (1,12) (2,12)
3 (15,15) (15,13)
3 (15,13) (13,11)
3 null null
0 (3,2) (4,3)
1 (13,1) (12,2)
2 (2,12) (1,12)
3 (15,10) (15,8)
3 null null
0 (0,0) (2,0)
0 null null
1 (11,0) (11,1)
2 (1,12) (2,12)
3 (13,15) (13,13)
3 (13,13) (15,15)
3 null null
0 (2,1) (3,1)
1 (15,4) (14,5)
2 (2,12) (1,12)
3 (14,12) (15,13)
0 (5,4) (3,2)
0 (3,2) (1,2)
0 null null
1 (12,2) (11,3)
2 (1,12) (2,12)
3 (15,8) (14,8)
0 (1,5) (2,5)
1 (13,2) (14,3)
2 (2,12) (1,12)
3 (13,14) (12,14)
0 (0,1) (2,3)
0 (2,3) (2,1)
0 null null
1 (12,1) (12,2)
2 (1,12) (2,12)
3 (12,13) (11,13)
0 (1,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (12,7) (11,8)
2 (2,12) (1,12)
3 (14,8) (13,7)
0 (5,2) (4,2)
1 (14,0) (13,1)
2 (1,12) (2,12)
3 (14,14) (13,13)
0 (2,5) (2,6)
1 (15,2) (14,1)
2 (2,12) (1,12)
3 (13,7) (13,8)
0 (2,0) (3,0)
1 (15,0) (14,0)
2 (1,12) (2,12)
3 (15,14) (13,12)
3 (13,12) (13,14)
3 (13,14) (11,14)
3 (11,14) (11,12)
3 null null
0 (5,4) (6,3)
1 (14,3) (13,2)
2 (2,12) (1,12)
3 (13,8) (13,7)
0 (2,1) (2,3)
0 null null
1 (14,4) (15,4)
2 (1,12) (2,12)
3 (11,12) (12,11)
0 (6,3) (6,2)
1 (11,3) (11,2)
2 (2,12) (1,12)
3 (11,13) (10,13)
0 (4,3) (4,4)
1 (15,4) (15,5)
2 (1,12) (2,12)
3 (13,13) (13,14)
0 (2,6) (2,5)
1 (13,5) (12,4)
2 (2,12) (1,12)
3 (13,11) (14,10)
0 (1,1) (0,0)
1 (11,2) (11,0)
1 null null
2 (1,12) (2,12)
3 (13,7) (12,6)
0 (0,3) (1,4)
1 (12,4) (13,5)
2 (2,12) (1,12)
3 (10,13) (11,14)
0 (0,0) (1,1)
1 (11,8) (12,9)
2 (1,12) (2,12)
3 (10,11) (11,10)
0 (0,2) (2,0)
0 null null
1 (13,5) (14,4)
2 (2,12) (1,12)
3 (12,14) (11,15)
0 (2,4) (3,4)
1 (14,1) (12,1)
1 (12,1) (14,3)
1 null null
2 (1,12) (2,12)
3 (14,15) (14,14)
0 (1,4) (2,4)
1 (11,1) (12,1)
2 (2,12) (1,12)
3 (12,11) (12,10)
0 (2,2) (0,2)
0 null null
1 (14,4) (13,3)
2 (1,12) (2,12)
3 (10,15) (9,15)
0 (3,1) (2,1)
1 (14,5) (15,4)
2 (2,12) (1,12)
3 (14,13) (14,12)
0 (2,4) (1,3)
1 (15,4) (15,6)
1 null null
2 (1,12) (2,12)
3 (11,10) (12,11)
0 (1,1) (1,0)
1 (14,3) (14,4)
2 (2,12) (1,12)
3 (13,14) (12,15)
0 (4,2) (5,3)
1 (13,1) (14,1)
2 (1,12) (2,12)
3 (11,14) (12,14)
0 (1,3) (3,3)
0 null null
1 (13,2) (13,1)
2 (2,12) (1,12)
3 (14,10) (14,9)
0 (2,3) (3,2)
1 (13,0) (12,0)
2 (1,12) (2,12)
3 (15,15) (15,14)
0 (5,3) (4,2)
1 (15,5) (15,7)
1 null null
2 (2,12) (1,12)
3 (12,10) (12,8)
3 null null
0 (4,4) (5,5)
1 (13,3) (15,1)
1 null null
2 (1,12) (2,12)
3 (15,13) (13,15)
3 null null
0 (1,2) (0,1)
1 (13,1) (11,3)
1 null null
2 (2,12) (1,12)
3 (9,15) (8,15)
0 (3,4) (4,5)
1 (12,0) (10,0)
1 null null
2 (1,12) (2,12)
3 (12,6) (12,5)
0 (6,2) (7,3)
1 (11,3) (11,2)
2 (2,12) (1,12)
3 (12,14) (11,13)
0 (4,5) (4,6)
1 (15,6) (14,6)
2 (1,12) (2,12)
3 (11,13) (10,14)
0 (4,6) (4,5)
1 (12,1) (13,1)
2 (2,12) (1,12)
3 (10,14) (9,13)
0 (7,3) (6,4)
1 (14,1) (13,0)
2 (1,12) (2,12)
3 (8,15) (7,15)
0 (5,5) (5,4)
1 (15,7) (13,5)
1 (13,5) (15,3)
1 null null
2 (2,12) (1,12)
3 (12,5) (11,4)
0 (2,0) (1,1)
1 (11,0) (11,1)
2 (1,12) (2,12)
3 (14,12) (13,13)
0 (1,0) (1,2)
0 null null
1 (12,9) (11,8)
2 (2,12) (1,12)
3 (11,4) (11,3)
0 (2,5) (2,6)
1 (15,1) (13,3)
1 (13,3) (15,5)
1 (15,5) (13,7)
1 (13,7) (11,9)
1 null null
2 (1,12) (2,12)
3 (11,15) (10,14)
0 (3,3) (4,4)
1 (13,1) (12,0)
2 (2,12) (1,12)
3 (12,8) (13,7)
0 (4,4) (5,5)
1 (10,0) (11,0)
2 (1,12) (2,12)
3 (12,15) (11,15)
0 (1,2) (0,3)
1 (11,9) (10,9)
2 (2,12) (1,12)
3 (9,13) (10,13)
0 (5,5) (4,6)
