# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 127
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Apr 10 19:51:13 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on www.smart-browser.com
# Player 3: Player-2, 'Human', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 random
START Player-2 Human
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (15,3) (13,3)
1 null null
2 (2,14) (2,12)
2 null null
3 (13,13) (12,13)
0 (1,2) (3,4)
0 null null
1 (13,0) (11,0)
1 null null
2 (2,12) (3,12)
3 (12,13) (11,13)
0 (3,0) (3,2)
0 null null
1 (11,0) (10,0)
2 (1,13) (3,13)
2 (3,13) (3,11)
2 null null
3 (14,12) (13,13)
0 (2,0) (4,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (3,11) (4,11)
3 (13,15) (11,15)
3 null null
0 (2,1) (4,3)
0 null null
1 (15,2) (15,3)
2 (1,15) (1,13)
2 (1,13) (3,13)
2 (3,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (11,13) (12,12)
0 (4,2) (4,4)
0 null null
1 (13,2) (14,1)
2 (5,11) (5,10)
3 (12,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (3,2) (5,4)
0 null null
1 (12,3) (11,3)
2 (0,14) (2,14)
2 (2,14) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (13,14) (11,14)
3 null null
0 (1,1) (3,3)
0 (3,3) (5,5)
0 null null
1 (14,3) (12,3)
1 (12,3) (10,3)
1 null null
2 (6,10) (6,9)
3 (14,13) (12,13)
3 (12,13) (12,15)
3 null null
0 (4,4) (6,6)
0 null null
1 (13,1) (12,2)
